,Transaction ID,Date,Time,Description,Credit/Debit,Credit,Debit,Balance,Category
0,TXN100000,2024-01-01,22:48:00,Company Payroll - Salary credited,Credit,5754.39,,6754.39,Salary
1,TXN100001,2024-01-02,10:25:00,Etisalat - Utilities payment,Debit,,6.89,6747.5,Utilities
2,TXN100002,2024-01-03,17:12:00,Noon - Shopping payment,Debit,,67.92,6679.58,Shopping
3,TXN100003,2024-01-05,08:17:00,Home EMI - EMI payment,Debit,,382.5,6297.08,EMI
4,TXN100004,2024-01-06,17:50:00,Zaatar w Zeit - Dining payment,Debit,,55.18,6241.9,Dining
5,TXN100005,2024-01-07,02:25:00,RSA Insurance - Insurance payment,Debit,,27.95,6213.95,Insurance
6,TXN100006,2024-01-08,10:20:00,NMC Hospital - Healthcare payment,Debit,,49.6,6164.35,Healthcare
7,TXN100007,2024-01-09,22:54:00,Namshi - Shopping payment,Debit,,88.03,6076.32,Shopping
8,TXN100008,2024-01-10,23:14:00,Noon - Shopping payment,Debit,,79.56,5996.76,Shopping
9,TXN100009,2024-01-13,13:25:00,AXA Insurance - Insurance payment,Debit,,97.96,5898.8,Insurance
10,TXN100010,2024-01-14,08:21:00,VOX Cinemas - Entertainment payment,Debit,,64.36,5834.44,Entertainment
11,TXN100011,2024-01-16,03:02:00,Namshi - Shopping payment,Debit,,14.49,5819.95,Shopping
12,TXN100012,2024-01-17,03:13:00,Home EMI - EMI payment,Debit,,50.97,5768.98,EMI
13,TXN100013,2024-01-19,08:57:00,Zaatar w Zeit - Dining payment,Debit,,44.19,5724.79,Dining
14,TXN100014,2024-01-22,08:25:00,DEWA - Utilities payment,Debit,,54.35,5670.44,Utilities
15,TXN100015,2024-01-23,09:35:00,Noon - Shopping payment,Debit,,57.89,5612.55,Shopping
16,TXN100016,2024-01-24,14:07:00,Namshi - Shopping payment,Debit,,91.33,5521.22,Shopping
17,TXN100017,2024-01-25,23:05:00,KFC - Dining payment,Debit,,23.47,5497.75,Dining
18,TXN100018,2024-01-26,20:52:00,RTA Dubai - Transport payment,Debit,,57.18,5440.57,Transport
19,TXN100019,2024-01-27,00:31:00,Noor Takaful - Insurance payment,Debit,,23.99,5416.58,Insurance
20,TXN100020,2024-01-29,02:48:00,Home EMI - EMI payment,Debit,,75.04,5341.54,EMI
21,TXN100021,2024-01-30,07:12:00,McDonald's - Dining payment,Debit,,87.44,5254.1,Dining
22,TXN100022,2024-01-31,05:56:00,DEWA - Utilities payment,Debit,,25.44,5228.66,Utilities
23,TXN100023,2024-02-01,08:48:00,Company Payroll - Salary credited,Credit,4462.02,,9690.68,Salary
24,TXN100024,2024-02-01,07:20:00,Aster Clinic - Healthcare payment,Debit,,77.53,9613.15,Healthcare
25,TXN100025,2024-02-02,18:24:00,RTA Dubai - Transport payment,Debit,,76.26,9536.89,Transport
26,TXN100026,2024-02-03,11:03:00,Uber - Transport payment,Debit,,32.65,9504.24,Transport
27,TXN100027,2024-02-04,16:29:00,VOX Cinemas - Entertainment payment,Debit,,64.48,9439.76,Entertainment
28,TXN100028,2024-02-05,02:52:00,AutoLoan EMI - EMI payment,Debit,,485.77,8953.99,EMI
29,TXN100029,2024-02-05,07:19:00,DU Telecom - Utilities payment,Debit,,13.64,8940.35,Utilities
30,TXN100030,2024-02-06,08:07:00,Noon - Shopping payment,Debit,,72.14,8868.21,Shopping
31,TXN100031,2024-02-07,23:07:00,Etisalat - Utilities payment,Debit,,42.49,8825.72,Utilities
32,TXN100032,2024-02-08,14:44:00,RSA Insurance - Insurance payment,Debit,,14.28,8811.44,Insurance
33,TXN100033,2024-02-09,09:34:00,KFC - Dining payment,Debit,,8.77,8802.67,Dining
34,TXN100034,2024-02-12,11:50:00,AXA Insurance - Insurance payment,Debit,,93.1,8709.57,Insurance
35,TXN100035,2024-02-13,12:48:00,Carrefour - Groceries payment,Debit,,34.61,8674.96,Groceries
36,TXN100036,2024-02-14,22:03:00,Etisalat - Utilities payment,Debit,,83.05,8591.91,Utilities
37,TXN100037,2024-02-16,23:39:00,VOX Cinemas - Entertainment payment,Debit,,81.62,8510.29,Entertainment
38,TXN100038,2024-02-17,23:54:00,Noor Takaful - Insurance payment,Debit,,32.56,8477.73,Insurance
39,TXN100039,2024-02-18,00:20:00,Mediclinic - Healthcare payment,Debit,,93.59,8384.14,Healthcare
40,TXN100040,2024-02-19,10:33:00,Etisalat - Utilities payment,Debit,,5.55,8378.59,Utilities
41,TXN100041,2024-02-21,18:20:00,AXA Insurance - Insurance payment,Debit,,56.71,8321.88,Insurance
42,TXN100042,2024-02-22,01:11:00,Namshi - Shopping payment,Debit,,10.21,8311.67,Shopping
43,TXN100043,2024-02-26,09:19:00,Uber - Transport payment,Debit,,55.84,8255.83,Transport
44,TXN100044,2024-02-27,15:03:00,Mediclinic - Healthcare payment,Debit,,52.96,8202.87,Healthcare
45,TXN100045,2024-02-28,01:41:00,Namshi - Shopping payment,Debit,,41.0,8161.87,Shopping
